"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,2.76,0,430.85,0,0.02,0,13.52,0,0,0,0,0,0,0,0,0
1979,1,1,3,2584.34,0,198.99,0,20.67,0,6.24,0,0,0,0,0,0,0,0,0
1979,1,1,4,4194.34,0,5.34,0,33.55,0,0.17,0,0,0,0,0,0,0,0,0
1979,1,1,5,1228.59,0,0.41,0,9.83,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,228.84,0,0,0,15.26,0,0,0,0,0,0,0,0,0
1979,1,2,3,92.03,0,100.84,0,1.56,0,6.72,0,0,0,0,0,0,0,0,0
1979,1,2,4,132.36,0,9.05,0,2.25,0,0.6,0,0,0,0,0,0,0,0,0
1979,1,2,5,3.13,0,0.41,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,2,239.83,0,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,258.43,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,246.35,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,31.15,0,0,0,9.12,0,0,0,0,0,0,0,0,0
1979,1,18,3,406.35,0,8.63,0,14.63,0,2.53,0,0,0,0,0,0,0,0,0
1979,1,18,4,702.67,0,0.23,0,25.3,0,0.07,0,0,0,0,0,0,0,0,0
1979,1,18,5,232.59,0,0.02,0,8.37,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,52.64,0,0,0,15.41,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0.19,0,0,0,0.05,0,0,0,0,0,0,0,0,0
1979,1,19,4,1.59,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
