Year	2	15	16	17	18	19	20	21	22	23	24	26	30	37	40	41	42	43	44	45	46	47	48
1979	3860	46964	18817	166324	1012	2106	-999	-999	-999	81095	17765	61705	2523	1950	30579	4262	1960	1940	0	4450	-999	3121	27410
1980	2761	62885	29850	148716	890	2995	-999	-999	-999	108616	17564	50589	3867	350	28359	6516	4515	988	0	7	-999	2430	19674
1981	1829	59323	21196	87311	587	2104	-999	-999	-999	85833	15684	30836	2760	550	33184	4774	2613	1261	0	0	-999	2694	26207
1982	869	47150	15176	157176	1295	2946	-999	-999	-999	102044	18086	52835	3760	733	45140	4172	2726	1293	0	96	-999	2341	21231
1983	533	65365	4456	65363	178	2971	-999	-999	-999	69127	11743	37455	4092	612	40386	4195	5374	821	0	0	-999	2511	18031
1984	793	69840	4784	134829	325	1611	-999	-999	-999	110407	11373	45040	2300	550	59949	3765	3426	1332	0	80	-999	2685	26498
1985	1146	55912	12712	148541	600	2054	-999	-999	-999	127980	10335	37281	3600	385	44683	3785	3186	823	0	596	-999	2209	24128
1986	804	50619	13591	276094	646	3717	-999	-999	-999	102323	8617	43675	3950	267	59365	3250	4410	1245	0	1421	-999	1841	29934
1987	1365	50390	16738	482924	482	3523	-999	-999	-999	73312	34458	24071	4150	627	103253	4473	3625	1563	0	3561	-999	2242	40595
1988	811	74049	46380	493507	503	4473	-999	-999	-999	55664	27330	20509	4300	427	93714	5169	3745	1496	0	3702	-999	3091	42603
1989	745	73870	52739	282520	650	4720	-999	-999	-999	80115	32281	28227	4150	565	88269	5697	5247	4526	0	2500	-999	3389	41139
1990	678	74004	39011	148727	1256	5338	-999	-999	-999	104676	18730	29869	4300	923	77409	5590	4090	5626	0	2982	-999	2919	34566
1991	1233	43901	40319	109485	1896	4409	-999	-999	-999	45305	14076	28707	4256	939	80474	8448	4764	3335	0	3116	-999	2693	41246
1992	2333	36930	49336	55699	1185	5093	-999	-999	-999	26517	14801	17430	6250	251	55471	5334	6182	3204	0	4677	-999	1649	39251
1993	1467	23753	44254	53513	2827	5319	-999	-999	-999	32150	14289	29280	3279	389	62440	7528	7813	2880	0	3430	-999	5510	43224
1994	4288	25994	32755	41632	2317	5479	-999	-999	-999	37567	13273	31585	3171	593	30663	5095	3093	973	0	3195	-999	3351	33233
1995	10814	28679	36939	43608	2437	5109	-999	-999	-999	34911	9543	24242	2475	1624	37839	6346	3503	1180	0	8258	-999	5922	42282
1996	6635	25307	44576	83429	1945	7093	-999	-999	-999	36340	10817	25575	3382	1098	32959	4646	1250	3986	0	7635	-999	3968	43403
1997	4896	13152	21373	72894	2655	8042	-999	-999	-999	34404	6904	54330	0	531	39457	6843	0	1139	0	5051	-999	4929	32318
1998	4464	19776	10648	57273	493	4309	-999	-999	-999	33562	9601	22994	4750	346	33008	3197	0	779	0	18073	-999	9130	26777
1999	6084	35655	1820	92793	1279	7217	-999	-999	-999	56248	8617	22042	11700	430	46521	5201	0	0	0	8509	-999	8161	25144
2000	3705	37764	10441	60764	1475	8138	-999	-999	-999	41796	5182	29083	8600	142	36991	4568	0	0	0	12836	-999	5024	27881
2001	2284	43066	11190	136847	425	6901	-999	-999	-999	80127	8224	28827	11000	277	55214	4521	0	1024	6198	25023	-999	11843	43390
2002	2326	35301	10183	182396	536	8045	-999	-999	-999	75148	13051	31528	8000	317	99381	4764	0	723	77	24355	-999	13030	46722
2003	4742	42058	8310	190498	544	9599	-999	-999	-999	48646	10097	39341	8000	228	107647	4741	5711	491	0	19520	-999	10468	53043
2004	2766	31454	6843	192110	6425	11412	-999	-999	-999	44637	15182	50389	8000	185	99817	5774	0	524	26	18581	-999	5557	69123
2005	1101	46131	8165	157245	44850	29883	-999	-999	-999	38906	12526	28920	8000	114	74495	11538	0	809	6225	22688	-999	12154	46928
2006	1013	46510	13914	127059	34164	26403	-999	-999	-999	63155	13490	22479	8000	17	58231	9189	0	0	0	26662	-999	17019	41925
2007	1203	55795	6317	56445	9106	15523	-999	-999	-999	63310	5999	20509	8000	41	37782	6373	0	522	0	12945	-999	19421	25889
2008	1043	47223	4974	141772	7663	11896	-999	-999	-999	55385	8846	26992	11970	7	39934	4723	0	276	0	18597	-999	15258	15276
2009	1684	35562	9125	148539	2895	11225	-999	-999	-999	44258	11798	35136	9177	125	48322	3143	0	0	0	17485	-999	14441	17960
2010	534	24896	10826	200005	1344	10520	-999	-999	-999	55677	10783	29385	7570	294	70152	3693	2689	0	0	14324	-999	15603	39412
2011	620	42694	25500	207562	4412	8935	-999	-999	-999	57588	13484	51107	14677	213	82730	3139	2540	646	0	20349	-999	18222	56907
2012	811	55520	13785	135053	7037	10120	-999	-999	-999	61508	14226	39420	7017	85	92247	2408	421	524	0	11396	-999	23243	45463
2013	482	55956	16448	344763	7911	6419	-999	-999	-999	49053	14761	20216	10259	72	133935	2377	2024	1506	0	11506	-999	19642	78695
2014	1097	19433	18164	405068	4789	7232	-999	-999	-999	31293	21290	39583	11973	43	123535	4122	2302	2134	0	13105	-999	11820	68886
2015	248	26563	13724	391995	7536	8730	-999	-999	-999	29768	18914	31744	12760	131	153990	2283	3442	1270	0	18487	-999	11092	107850
2016	140	45336	4348	224157	6871	6063	-999	-999	-999	33832	9629	12583	10043	90	86785	1262	2246	1493	0	7512	-999	8753	47032
2017	131	74259	4345	164816	2393	1917	-999	-999	-999	60651	18309	18859	10108	74	94799	375	1240	977	0	8471	-999	18728	47032
