"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,3,2,338.03,0,835.02,0,5.75,0,55.67,0,0,0,0,0,0,0,0,0
1979,2,3,3,1896.06,0,445.42,0,32.23,0,29.69,0,0,0,0,0,0,0,0,0
1979,2,3,4,638.31,0,42.73,0,10.85,0,2.85,0,0,0,0,0,0,0,0,0
1979,2,3,5,291.04,0,1.91,0,4.95,0,0.13,0,0,0,0,0,0,0,0,0
1979,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
