"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,2.75,0,428.2,0,0.02,0,13.43,0,0,0,0,0,0,0,0,0
1979,1,1,3,2584.15,0,198.02,0,20.67,0,6.21,0,0,0,0,0,0,0,0,0
1979,1,1,4,4194.24,0,5.31,0,33.55,0,0.17,0,0,0,0,0,0,0,0,0
1979,1,1,5,1228.58,0,0.41,0,9.83,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,231.93,0,0,0,15.46,0,0,0,0,0,0,0,0,0
1979,1,2,3,92.03,0,102.34,0,1.56,0,6.82,0,0,0,0,0,0,0,0,0
1979,1,2,4,132.36,0,9.19,0,2.25,0,0.61,0,0,0,0,0,0,0,0,0
1979,1,2,5,3.13,0,0.41,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,2,239.51,0,21.25,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,258.41,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,246.35,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,30.83,0,0,0,9.02,0,0,0,0,0,0,0,0,0
1979,1,18,3,406.32,0,8.55,0,14.63,0,2.5,0,0,0,0,0,0,0,0,0
1979,1,18,4,702.65,0,0.23,0,25.3,0,0.07,0,0,0,0,0,0,0,0,0
1979,1,18,5,232.58,0,0.02,0,8.37,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,19,2,0,0,52.36,0,0,0,15.32,0,0,0,0,0,0,0,0,0
1979,1,19,3,0,0,0.18,0,0,0,0.05,0,0,0,0,0,0,0,0,0
1979,1,19,4,1.59,0,0.01,0,0.06,0,0,0,0,0,0,0,0,0,0,0
1979,1,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,2,1,2,3450.7,0,2165.62,0,27.61,0,67.94,0,0,0,0,0,0,0,0,0
1979,2,1,3,13174.54,0,1292.16,0,105.4,0,40.54,0,0,0,0,0,0,0,0,0
1979,2,1,4,6851.88,0,31.27,0,54.82,0,0.98,0,0,0,0,0,0,0,0,0
1979,2,1,5,4678.38,0,1.92,0,37.43,0,0.06,0,0,0,0,0,0,0,0,0
1979,2,2,2,3424.46,0,1173,0,58.22,0,78.2,0,0,0,0,0,0,0,0,0
1979,2,2,3,2101.19,0,667.8,0,35.72,0,44.52,0,0,0,0,0,0,0,0,0
