"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,1,1,2,2.75,0,427.81,0,0.02,0,13.42,0,0,0,0,0,0,0,0,0
1979,1,1,3,2584.08,0,197.7,0,20.67,0,6.2,0,0,0,0,0,0,0,0,0
1979,1,1,4,4194.23,0,5.3,0,33.55,0,0.17,0,0,0,0,0,0,0,0,0
1979,1,1,5,1228.57,0,0.41,0,9.83,0,0.01,0,0,0,0,0,0,0,0,0
1979,1,2,2,0,0,231.77,0,0,0,15.45,0,0,0,0,0,0,0,0,0
1979,1,2,3,92.02,0,102.19,0,1.56,0,6.81,0,0,0,0,0,0,0,0,0
1979,1,2,4,132.36,0,9.17,0,2.25,0,0.61,0,0,0,0,0,0,0,0,0
1979,1,2,5,3.13,0,0.41,0,0.05,0,0.03,0,0,0,0,0,0,0,0,0
1979,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,2,239.68,0,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,3,258.41,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,4,0,246.35,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,7,5,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,1,18,2,0,0,30.82,0,0,0,9.02,0,0,0,0,0,0,0,0,0
1979,1,18,3,406.31,0,8.54,0,14.63,0,2.5,0,0,0,0,0,0,0,0,0
1979,1,18,4,702.65,0,0.23,0,25.3,0,0.07,0,0,0,0,0,0,0,0,0
