Year	13	14	15	17	25
1979	128073	36501	177556	66155	38700
1980	171516	47681	149173	50596	15011
1981	145152	36880	90071	30836	21151
1982	149274	33271	161513	52931	31236
1983	134492	16210	66913	37455	23206
1984	180248	16239	135309	45120	43760
1985	184907	25162	155418	37877	45444
1986	153000	29000	286616	45096	57993
1987	127000	51000	495100	27632	105835
1988	133000	74000	506791	24211	97638
1989	156000	85000	292598	30727	88088
1990	179593	57770	158919	32851	79467
1991	89495	54397	114866	31823	79260
1992	63460	64223	63679	22107	56417
1993	54968	59285	71445	32710	64995
1994	63577	46059	39406	34780	29634
1995	63593	46490	43787	32500	36394
1996	61658	55408	88730	33210	31672
1997	47522	28269	87741	59381	45984
1998	50915	20266	54819	41067	34342
1999	91947	11400	91254	30551	45094
2000	79494	15660	92166	41919	49631
2001	123266	19480	242605	53504	141848
2002	108566	23372	266582	55883	150735
2003	86206	18443	233686	58861	149157
2004	69211	21965	244223	68970	148966
2005	82629	20668	183405	51608	91019
2006	109557	27414	160027	49141	72495
2007	118628	12353	90530	33454	56359
2008	101322	15028	200182	45589	88738
2009	68764	18728	176246	52621	90154
2010	80599	12794	306058	43709	166247
2011	100353	39034	274391	71456	150061
2012	117259	29232	238931	50816	152726
2013	105104	31111	378543	31722	163672
2014	50767	39514	456728	52688	184855
2015	58162	32760	461688	50231	253224
2016	79251	14135	265728	20095	146551
