"fishery","fisheryShortName"
1,"Alaska T"
2,"North T"
3,"Centr T"
4,"WCVI T"
5,"WA/OR T"
6,"Geo St T"
7,"Alaska N"
8,"North N"
9,"Centr N"
10,"WCVI N"
11,"J De F N"
12,"PgtNth N"
13,"PgtSth N"
14,"Wash Cst N"
15,"Col R N"
16,"John St N"
17,"Fraser N"
18,"Alaska S"
19,"Nor/Cen S"
20,"WCVI S"
21,"Wash Ocn S"
22,"PgtNth S"
23,"PgtSth S"
24,"Geo St S"
25,"Col R S"
